Geography,IsActiveMember,HasCrCard,Balance,CreditScore,Exited
France,1,1,118803.35,565,1
France,1,1,171137.62,710,1
France,0,0,0.0,645,0
France,0,1,136678.52,707,0
Spain,0,1,135515.76,655,0
Spain,0,0,177799.83,705,0
Spain,0,1,143542.36,358,1
Germany,0,1,147487.23,578,0
France,0,1,97764.41,800,1
France,0,0,0.0,612,1
Germany,1,1,139480.18,681,0
Spain,1,1,0.0,559,0
Spain,0,0,140553.46,488,0
France,1,1,0.0,717,0
France,0,1,141162.08,666,0
Spain,0,1,65848.36,582,0
Spain,0,0,83319.28,733,0
France,0,0,0.0,693,0
France,0,1,129731.64,694,0
France,0,1,0.0,622,0
Spain,0,0,0.0,598,0
Spain,0,0,0.0,717,1
Germany,0,1,107106.33,494,0
France,1,1,0.0,644,0
France,1,1,0.0,554,0
Spain,1,0,105303.73,476,0
France,0,1,165798.1,667,0
Spain,0,1,0.0,748,0
Spain,1,1,126495.57,531,0
Spain,0,1,116393.59,719,1
Germany,0,0,81733.74,845,0
France,1,0,0.0,738,1
Spain,0,1,106171.68,563,1
Spain,1,1,96020.86,695,0
Spain,1,0,0.0,841,0
Germany,1,1,181671.16,626,0
France,1,1,185709.28,613,0
Germany,0,0,134250.17,824,1
France,0,1,0.0,705,1
France,1,1,95671.75,584,0
France,0,0,0.0,534,1
France,1,1,142151.75,672,0
France,1,1,127823.93,603,0
Germany,1,1,144164.29,633,0
France,1,1,63492.94,842,0
France,1,1,0.0,661,0
France,1,0,0.0,601,0
France,1,0,106134.46,632,0
Germany,1,0,127269.75,684,0
Germany,1,0,124493.03,785,1
France,0,1,0.0,687,0
Germany,1,0,146547.78,705,1
France,0,1,99610.92,639,0
Germany,0,1,117837.43,729,1
Spain,1,1,168522.37,556,0
France,1,0,117337.54,570,0
France,1,0,108131.53,841,0
Germany,0,1,136496.12,705,0
France,0,1,116324.53,553,0
Germany,1,1,75470.23,779,0
France,1,1,172646.82,696,0
Spain,0,0,0.0,728,0
Germany,0,1,160358.68,691,0
France,1,1,98415.37,706,0
Germany,0,1,57809.32,627,0
Germany,0,0,128743.8,716,0
Germany,0,1,130806.42,501,0
France,1,0,123971.16,601,0
Spain,0,0,0.0,545,1
France,0,0,0.0,634,0
Spain,1,0,0.0,451,0
France,0,1,0.0,655,1
France,0,1,0.0,458,0
France,1,1,156297.58,520,0
Spain,1,0,0.0,624,0
France,1,1,123372.3,765,0
Germany,0,1,92171.35,667,1
Spain,0,1,0.0,665,0
Germany,1,1,148375.19,709,0
France,1,1,0.0,583,0
Spain,1,0,147422.44,782,0
Spain,0,0,173962.32,668,1
France,1,1,0.0,621,1
Germany,1,1,145215.43,579,0
France,1,0,167539.97,547,0
France,0,1,94968.97,840,0
Germany,0,1,106116.5,667,0
France,1,0,0.0,723,0
France,0,1,0.0,487,0
France,0,0,0.0,668,0
Germany,1,1,120018.86,520,0
France,0,0,112541.54,549,0
France,0,1,166118.45,567,0
France,1,1,102882.4,720,1
France,1,1,0.0,492,1
France,0,0,106881.5,712,0
Germany,1,0,120727.97,689,0
France,0,0,169832.57,850,1
France,1,1,0.0,747,0
Germany,0,0,113599.42,469,0
Spain,1,1,0.0,539,1
France,0,1,0.0,743,0
France,0,1,0.0,707,0
Spain,1,1,0.0,581,0
Spain,0,1,146282.79,737,0
Germany,0,1,119413.62,445,0
Germany,1,0,122084.63,703,0
Germany,0,1,103060.63,588,1
France,1,1,0.0,765,0
France,0,1,0.0,626,0
Germany,1,1,110483.86,545,0
France,1,1,120718.28,744,0
Spain,0,1,36566.96,658,1
Germany,1,1,108601.0,629,0
France,0,1,0.0,719,1
Spain,1,1,0.0,686,0
France,1,1,0.0,743,0
Spain,1,1,0.0,626,0
Germany,0,1,141136.62,661,1
Germany,1,1,108231.37,710,0
France,0,0,0.0,654,1
Spain,0,0,144855.34,569,0
France,1,1,68432.45,640,1
France,0,1,136855.24,562,0
France,0,1,44020.89,721,1
Germany,1,1,133060.63,456,0
Spain,1,1,0.0,811,0
France,1,1,0.0,534,0
France,0,1,97665.61,423,1
Germany,0,1,185013.02,594,0
Spain,1,1,0.0,725,0
France,0,1,65971.61,716,1
Germany,1,0,150463.11,595,0
France,0,0,0.0,679,0
Spain,0,1,0.0,667,0
France,0,1,136425.18,661,0
Spain,1,0,250898.09,655,1
France,1,1,146798.81,555,0
Spain,0,0,0.0,531,0
Germany,0,1,128486.91,611,0
France,1,1,0.0,600,0
Spain,1,0,143407.29,531,0
France,0,1,0.0,601,1
France,1,1,76165.65,548,0
France,0,1,0.0,759,0
Spain,1,0,0.0,678,0
Germany,1,1,90560.3,755,0
France,1,1,62391.22,594,0
France,0,0,0.0,768,0
France,1,1,0.0,492,0
Germany,0,1,123378.2,637,1
Spain,1,0,99836.47,646,0
Germany,1,1,161434.36,593,0
Spain,1,0,0.0,596,0
Germany,1,1,138311.76,722,1
France,0,1,0.0,642,0
Spain,0,1,0.0,472,0
Germany,0,0,101744.84,738,0
Spain,0,1,0.0,732,0
Germany,0,1,125456.07,404,1
France,0,1,0.0,701,0
France,1,0,0.0,683,0
France,0,1,0.0,460,1
France,0,1,0.0,690,0
Germany,1,1,118449.21,618,1
France,1,0,0.0,671,0
Spain,0,0,178095.55,765,0
Germany,0,1,109175.14,651,0
France,0,0,127785.17,704,1
France,1,0,0.0,544,0
France,1,1,0.0,790,0
Germany,0,1,134260.36,710,0
France,1,0,69143.91,743,0
France,0,1,100054.77,702,0
France,1,1,0.0,704,0
France,0,1,116248.88,614,0
Spain,1,1,86053.52,609,1
France,0,1,123157.95,688,0
France,0,1,63438.91,713,0
Germany,0,1,95295.39,736,1
France,1,1,133550.67,727,0
France,0,1,106871.81,850,0
Spain,1,1,105266.32,718,0
France,0,1,105229.53,643,1
France,0,1,102768.42,653,0
France,1,1,0.0,674,1
France,0,1,112689.95,690,0
France,1,1,122334.26,819,0
Spain,0,1,0.0,634,0
Spain,0,1,137847.41,633,0
France,1,0,122486.47,850,0
France,1,1,101286.11,665,0
Spain,1,1,0.0,630,0
Spain,0,1,101247.06,836,1
France,1,0,86977.96,668,0
France,0,1,0.0,753,1
France,1,0,110123.59,745,1
France,0,0,178111.82,693,1
Germany,0,0,126306.64,606,1
France,0,1,100768.77,660,0
France,0,1,0.0,608,0
France,1,1,0.0,744,0
France,1,1,118991.79,731,0
France,1,0,140997.26,683,0
France,1,0,0.0,727,0
Germany,0,1,166824.59,561,0
France,0,1,76322.69,700,0
France,1,1,0.0,605,0
Spain,1,1,149083.7,767,0
France,1,0,0.0,511,0
France,1,1,0.0,667,0
France,1,0,126588.81,787,0
Germany,0,1,143249.67,705,1
Germany,1,1,81844.91,773,0
France,1,0,0.0,554,0
Germany,1,1,190298.89,526,0
Germany,1,1,117212.18,661,0
France,1,1,0.0,698,0
France,0,1,139848.17,646,0
Germany,0,0,101861.36,757,0
Spain,1,1,167455.66,699,0
France,1,0,0.0,667,0
Spain,0,1,116360.07,774,0
Spain,0,0,88466.82,745,0
France,1,0,0.0,649,0
Germany,1,1,123642.36,634,1
Spain,1,0,0.0,665,0
France,1,1,72286.84,713,0
France,0,1,0.0,652,0
Spain,1,1,109681.61,739,0
Germany,0,1,145018.64,556,1
Spain,1,1,0.0,699,0
Spain,1,1,187487.63,708,0
France,1,1,165692.91,480,0
Germany,0,1,137648.41,700,1
Spain,0,1,118560.0,525,1
France,0,1,164385.53,845,0
France,1,1,108286.5,613,0
France,1,1,0.0,850,0
Spain,0,0,0.0,798,1
Germany,1,1,118079.47,773,1
Spain,1,1,127283.78,614,0
Spain,0,1,0.0,473,0
France,0,1,141389.06,762,0
France,1,1,130091.5,701,0
France,0,1,143744.77,600,0
Spain,1,1,97408.03,850,0
Spain,1,1,111927.45,613,0
France,0,1,0.0,509,0
Spain,0,0,0.0,509,0
France,1,1,0.0,609,0
France,0,0,188285.68,456,0
France,0,1,109705.52,728,1
Spain,0,0,0.0,663,0
Germany,1,0,127122.79,673,0
France,0,1,98241.04,717,0
Germany,0,0,170840.08,741,0
Germany,1,1,87541.06,498,1
France,1,0,62610.96,850,0
France,1,1,0.0,493,0
France,0,1,113328.93,686,0
Spain,0,1,104832.49,666,0
Spain,1,1,102289.85,733,0
Germany,1,0,125227.82,631,0
Germany,0,1,140510.89,714,0
Germany,0,1,132253.22,767,1
Germany,1,1,39043.29,711,0
France,1,1,0.0,722,0
Spain,0,1,99685.06,631,0
Germany,1,0,125385.49,701,0
Spain,1,1,131365.37,790,0
Spain,1,1,98308.51,633,0
France,0,1,0.0,644,0
Spain,0,1,140856.16,757,0
France,1,1,0.0,696,0
France,0,1,172274.01,746,0
Spain,0,1,0.0,649,0
Spain,0,0,122447.76,565,0
France,1,1,0.0,720,1
Spain,0,1,157559.59,648,1
Germany,0,0,126550.7,632,1
France,0,1,158584.82,622,1
France,1,1,163569.61,835,0
France,1,1,0.0,493,1
Germany,0,0,127211.45,785,0
Germany,0,1,118199.97,681,1
Germany,1,1,101014.08,621,0
Spain,0,1,119208.85,756,1
France,1,1,0.0,515,0
France,1,1,53772.73,625,1
Spain,0,1,0.0,717,0
Germany,1,0,138878.81,595,0
Spain,0,0,130922.81,539,0
France,1,1,0.0,762,0
Spain,1,1,0.0,706,0
Spain,0,1,130866.19,677,0
Germany,1,0,187257.94,733,0
Spain,1,1,0.0,684,0
France,1,0,147733.64,679,0
Spain,1,1,0.0,478,0
France,1,1,163139.27,696,0
Spain,1,1,0.0,686,0
France,1,0,119540.15,466,0
France,0,1,129553.76,686,0
France,1,1,0.0,576,0
Germany,1,1,66101.89,763,0
France,0,1,140431.98,572,1
France,0,0,0.0,757,0
France,1,1,0.0,582,0
France,0,1,0.0,623,0
Germany,0,1,116471.43,617,1
France,0,1,0.0,425,0
France,0,1,123785.24,659,1
France,1,0,0.0,605,0
France,0,0,88758.95,538,1
Germany,0,1,153611.83,665,0
Germany,1,1,112044.72,491,1
Spain,1,0,123826.07,726,0
France,0,1,106804.26,580,1
France,1,1,0.0,550,0
France,0,1,68892.77,542,1
France,0,1,0.0,732,0
France,1,0,125827.43,473,0
Spain,0,1,0.0,745,0
France,1,1,0.0,732,0
Germany,0,0,148495.64,848,0
France,0,0,133043.66,572,0
France,1,1,74989.58,702,0
Germany,0,1,60263.23,664,0
Germany,1,1,129370.91,630,1
Germany,0,0,157955.83,618,0
France,0,1,0.0,556,0
France,1,1,70729.17,619,0
France,1,0,0.0,644,1
Spain,0,1,0.0,658,0
Spain,0,1,90721.52,598,0
France,1,1,0.0,677,0
Spain,0,1,57784.22,689,1
France,0,1,131765.72,591,0
France,1,0,0.0,699,1
Germany,1,0,110022.74,749,1
France,1,1,131569.63,709,0
Germany,1,1,164523.5,607,0
Germany,1,1,114330.95,650,0
Spain,0,1,135923.16,651,0
France,1,1,0.0,676,0
France,1,0,0.0,723,0
Spain,1,0,124693.48,714,0
Spain,1,1,147936.42,759,0
France,0,1,0.0,582,0
France,0,1,126558.92,697,0
Germany,1,0,106938.11,610,0
Germany,0,1,140002.35,488,0
Germany,1,1,123444.72,599,1
France,1,1,147107.91,781,0
France,0,0,128514.84,645,0
France,0,0,0.0,545,1
Germany,0,1,106756.01,597,0
Spain,0,1,0.0,561,0
France,0,1,0.0,662,0
Germany,1,1,155393.32,649,1
France,1,1,110414.48,630,0
Spain,1,1,0.0,672,0
Germany,1,1,157098.52,636,0
Germany,1,1,85626.6,593,0
Germany,1,1,93796.42,545,0
Spain,0,1,0.0,567,0
France,0,1,125268.03,583,0
France,1,1,148143.84,681,0
Spain,0,1,115545.33,762,0
Spain,0,0,0.0,648,0
France,1,1,44928.88,644,0
Spain,1,1,0.0,706,0
France,0,1,162442.35,850,0
Spain,1,1,0.0,484,0
Germany,0,1,96213.82,508,0
France,0,1,156569.43,439,0
Spain,0,1,0.0,484,0
Spain,0,0,0.0,803,0
Germany,1,1,110463.25,724,1
France,0,1,154575.76,640,1
Spain,0,0,0.0,701,0
France,1,1,0.0,537,0
Germany,0,0,147037.32,651,0
Germany,0,0,119276.31,523,1
France,0,1,108664.85,717,0
Spain,0,1,0.0,593,0
Germany,1,1,163034.82,706,0
Germany,0,1,93059.34,714,1
Spain,0,1,179581.31,794,0
Germany,0,0,113625.93,518,1
Germany,0,1,119961.48,589,1
France,0,0,129209.48,824,0
Germany,0,1,137227.04,719,1
Germany,0,1,119024.75,617,1
France,0,1,74623.5,651,1
Spain,1,1,157929.45,637,1
France,0,1,92606.86,554,0
Germany,0,1,127862.93,731,0
Spain,1,1,0.0,569,1
Germany,0,1,142711.81,625,0
France,0,1,0.0,592,0
France,1,0,163159.85,669,0
Germany,1,1,108586.86,663,0
Germany,0,1,110624.99,518,0
Germany,1,1,154846.24,686,0
Germany,1,1,122917.71,709,1
France,1,0,0.0,571,0
France,0,0,82787.93,707,0
Germany,0,0,102500.34,701,0
France,0,1,0.0,672,0
Germany,0,1,159492.79,620,1
Spain,1,1,0.0,557,0
Spain,0,1,118241.02,648,1
France,0,1,113090.4,479,0
France,1,1,65763.57,730,0
Germany,0,1,125537.38,737,1
France,0,1,94263.91,616,0
Spain,0,1,133434.57,639,0
Spain,1,1,0.0,815,0
Spain,1,1,0.0,786,0
France,1,0,94748.76,549,0
France,1,1,98640.74,622,0
France,0,0,74681.9,624,0
France,0,1,0.0,841,0
Spain,0,0,179915.85,614,1
France,1,1,128207.23,676,0
France,0,0,132739.26,697,0
France,0,1,0.0,732,0
France,0,0,120509.81,623,0
France,0,1,124547.13,541,0
Spain,1,0,0.0,773,0
Germany,0,1,88815.56,762,1
Spain,0,1,82231.51,655,0
Germany,0,1,184715.86,602,0
France,0,1,0.0,850,0
Spain,1,1,0.0,649,0
Germany,0,1,147972.19,850,1
France,1,1,0.0,543,0
France,0,0,170008.84,672,1
France,1,0,0.0,600,0
Spain,0,1,0.0,671,0
Spain,1,1,95386.82,706,0
Germany,0,1,90373.28,541,0
Germany,1,1,133467.77,711,0
Spain,1,0,0.0,630,0
France,0,1,96288.26,531,0
France,1,0,91547.84,641,0
Germany,0,0,138292.64,631,1
France,0,1,0.0,685,0
Spain,1,1,71667.74,702,0
Germany,0,1,118994.84,708,1
Spain,1,1,0.0,653,0
Germany,0,0,145610.07,654,0
France,0,1,138162.81,596,0
Germany,1,1,135020.21,549,0
France,0,1,0.0,754,0
Germany,1,1,135161.67,815,0
France,0,1,0.0,556,1
France,1,1,94486.47,706,0
France,0,1,117640.39,850,0
Spain,1,1,111379.55,732,0
France,1,1,0.0,614,1
Spain,1,0,136820.99,580,0
France,0,1,98752.51,593,0
Germany,1,1,158266.42,653,0
France,1,1,105599.67,746,0
France,0,1,0.0,662,0
France,1,1,0.0,573,0
Spain,1,1,139723.9,684,0
France,0,1,141806.46,793,0
Germany,1,1,132571.67,798,1
France,0,1,180516.9,524,0
France,1,1,0.0,816,0
Germany,1,0,92805.72,742,1
France,1,1,0.0,540,1
Germany,0,1,135309.36,537,1
Spain,1,1,128917.84,759,0
France,0,1,56580.93,774,1
Germany,0,1,131390.75,608,0
Spain,0,0,0.0,704,0
France,0,0,0.0,581,0
Germany,1,1,97361.66,628,1
France,0,1,0.0,566,1
Spain,1,0,0.0,701,0
Spain,1,1,0.0,735,0
France,0,1,0.0,680,0
France,1,0,0.0,560,0
Germany,0,0,102714.65,663,0
France,1,1,67816.72,665,0
France,1,1,81710.46,758,0
France,1,0,75237.54,621,0
Germany,0,1,124023.18,764,0
Germany,1,0,100727.5,537,1
France,0,1,107238.85,589,0
France,0,1,0.0,555,0
France,0,1,139994.66,734,0
Spain,1,1,126224.87,783,0
Germany,0,0,145751.03,678,1
France,1,0,0.0,661,1
Spain,1,0,121166.89,607,0
Spain,1,0,0.0,537,0
Spain,1,1,0.0,513,0
France,0,0,70655.48,576,1
Germany,0,1,129901.21,660,1
France,1,1,125470.81,637,0
France,1,1,169406.33,672,1
France,1,0,0.0,629,0
Germany,1,1,107041.3,583,0
Spain,1,0,95153.77,763,0
Germany,0,0,145166.09,516,0
France,0,0,0.0,617,0
France,1,1,65962.63,700,0
Germany,1,1,140418.81,727,1
Spain,1,0,139799.63,689,0
Germany,0,1,171787.84,626,0
France,1,1,149238.97,686,0
Germany,0,1,163146.46,351,1
France,0,1,0.0,739,1
France,0,1,0.0,627,0
Germany,1,1,61482.47,451,0
France,0,1,145150.28,512,1
France,0,1,126670.37,774,0
France,1,0,84390.8,652,0
Germany,1,1,89728.86,638,0
France,0,1,0.0,475,0
Spain,0,0,118628.8,567,0
France,0,1,0.0,750,0
France,1,1,96863.13,850,0
France,1,0,142263.45,753,0
Spain,0,1,0.0,683,0
France,0,1,0.0,710,0
Spain,0,0,0.0,645,0
France,1,1,122724.37,714,0
Germany,0,1,174902.26,696,0
Spain,1,1,0.0,612,0
Germany,1,1,108914.17,520,1
Spain,1,1,98052.66,782,0
France,1,1,123873.19,666,0
Germany,0,1,111920.13,466,1
France,1,0,0.0,567,0
France,1,1,0.0,613,0
France,1,1,0.0,718,0
France,1,0,75150.34,614,1
France,0,0,0.0,711,0
Germany,0,1,114753.76,691,0
France,0,1,0.0,527,0
France,0,0,111871.93,476,0
Spain,0,0,0.0,619,0
Germany,0,0,135927.06,607,0
Spain,1,1,0.0,695,0
France,0,0,0.0,653,0
France,1,1,57037.74,677,0
France,0,1,0.0,655,1
France,1,1,79468.96,625,0
Germany,0,1,121063.85,679,0
France,1,1,118537.47,734,0
France,0,1,0.0,666,0
Germany,0,1,105082.07,592,0
France,0,1,0.0,564,1
France,1,1,0.0,814,0
Germany,0,1,104702.65,592,0
France,1,1,95813.76,758,1
Spain,1,1,167026.61,612,0
Germany,0,1,102453.26,498,1
Germany,1,1,148045.45,638,0
France,0,0,0.0,558,0
France,0,1,0.0,756,0
Spain,1,1,0.0,782,1
France,1,0,104498.79,505,0
Spain,0,0,0.0,671,0
France,1,1,0.0,801,0
France,1,0,149542.52,604,0
France,1,1,87946.39,716,0
France,0,1,68639.57,624,1
Germany,1,1,148826.32,607,0
France,1,0,0.0,827,0
France,1,0,108166.09,606,0
Germany,0,1,103214.71,717,0
Germany,0,0,134760.21,651,1
France,1,0,0.0,691,1
France,0,1,90124.64,573,0
Spain,1,1,0.0,723,0
Germany,0,1,87361.02,584,1
Germany,0,0,111257.59,550,1
France,1,0,131583.59,611,1
Germany,1,1,95020.8,549,1
Spain,1,0,0.0,850,0
Germany,0,0,80242.37,668,0
France,1,1,0.0,686,0
France,1,1,0.0,660,1
Spain,1,0,122661.39,682,0
France,1,1,0.0,524,1
France,1,1,0.0,645,1
France,0,1,0.0,850,0
France,1,1,0.0,537,0
Spain,0,1,81742.84,599,0
Spain,1,1,0.0,727,1
Spain,0,0,145127.85,756,0
France,0,1,148912.44,755,0
Spain,1,1,0.0,634,0
France,0,1,89900.24,837,0
Germany,1,1,119027.28,727,0
Germany,0,1,105222.86,567,0
Spain,0,0,0.0,650,1
Spain,1,1,116114.93,655,0
France,1,0,187911.55,763,0
France,1,1,0.0,843,0
France,1,1,144432.04,667,1
France,1,0,77065.9,705,0
Germany,1,1,180520.29,660,0
France,0,0,0.0,553,0
Germany,1,1,130024.87,612,1
Germany,0,1,110086.69,641,0
Spain,0,1,174853.46,513,0
France,1,0,108724.98,680,0
France,1,1,91285.13,711,0
Spain,1,1,0.0,689,0
Germany,1,0,110610.41,665,1
Germany,0,1,102994.04,551,1
Spain,0,1,59893.85,645,0
Germany,0,1,149318.55,616,0
France,1,0,116409.55,582,0
Germany,0,1,127760.07,365,1
Germany,1,1,132591.36,697,1
France,0,1,0.0,704,0
France,1,1,113402.14,656,0
France,0,1,0.0,712,0
France,0,0,0.0,748,0
France,1,1,0.0,724,0
France,1,1,136953.47,691,0
France,1,0,0.0,563,0
France,1,1,0.0,741,0
France,0,1,123863.64,778,0
Spain,1,1,120811.89,848,0
Germany,1,1,148430.55,634,0
Germany,1,1,47869.69,505,0
Germany,0,0,150926.99,692,0
Germany,0,1,103163.35,537,1
France,0,1,130206.28,633,0
France,0,0,136674.51,833,0
Spain,1,1,200322.45,592,0
Spain,1,1,0.0,587,0
Spain,1,0,80927.56,550,0
France,0,1,0.0,680,1
Spain,1,1,0.0,622,0
Germany,0,1,142574.71,594,0
Germany,1,0,160426.07,643,0
France,0,1,116160.23,540,0
Spain,0,1,98683.47,635,0
France,1,1,118829.03,657,0
France,0,1,118870.92,814,0
France,1,1,0.0,600,0
France,1,1,0.0,682,0
France,1,1,107192.38,682,0
France,1,1,108010.78,566,0
Spain,0,0,0.0,550,0
France,1,0,129837.72,630,0
Germany,0,1,106458.31,546,1
France,1,1,97009.15,486,0
Spain,0,0,122929.42,762,0
Germany,1,0,152296.83,692,1
France,0,0,0.0,498,0
Spain,0,0,0.0,850,1
France,0,1,128993.76,603,0
France,0,1,0.0,551,0
Germany,1,1,185267.45,627,0
France,0,0,0.0,515,0
Spain,0,0,116805.82,605,0
Germany,0,1,129750.68,567,0
Germany,1,0,129177.01,568,0
Germany,0,1,82506.72,571,0
Germany,1,1,107247.69,634,1
Spain,0,0,0.0,768,1
Germany,0,1,157780.93,554,0
France,1,1,172170.36,629,0
Spain,1,1,0.0,638,0
France,1,1,0.0,576,0
Spain,0,1,75361.44,661,1
France,1,1,0.0,592,0
Spain,1,1,0.0,702,0
France,0,1,98263.46,647,0
France,1,1,0.0,593,0
Germany,0,1,109308.79,712,1
Spain,0,1,0.0,625,0
Germany,1,0,164365.44,538,0
Spain,0,1,98800.0,637,0
France,1,1,193125.85,632,0
France,1,0,51522.75,736,0
France,1,1,84284.48,755,0
Spain,0,1,0.0,425,0
France,0,0,119889.84,461,1
France,1,1,137910.45,745,0
France,0,1,0.0,616,0
France,0,1,100116.82,587,0
Germany,1,0,166082.15,850,0
France,0,1,0.0,601,0
Spain,0,1,0.0,730,0
France,0,1,148595.55,532,1
Germany,0,1,94078.97,850,0
Spain,1,0,0.0,779,0
France,1,1,0.0,562,0
Germany,0,0,164948.98,670,1
France,0,1,140549.4,729,1
France,1,1,152509.25,767,0
France,0,1,191864.51,742,1
France,0,0,96418.09,669,1
Spain,1,0,131945.94,542,0
France,1,1,0.0,586,0
Germany,0,1,142910.15,612,1
France,1,1,0.0,740,0
France,1,1,146311.58,584,0
France,0,1,87894.26,524,1
France,0,1,97445.49,614,0
France,1,0,0.0,598,1
Spain,1,0,0.0,799,0
France,0,0,154485.74,724,0
France,0,1,115625.07,601,0
France,0,1,108396.67,804,0
Germany,1,1,65095.41,745,0
Germany,0,1,103018.45,667,1
France,1,1,84764.79,518,0
France,0,1,0.0,819,0
Spain,1,1,115680.81,520,0
France,0,1,0.0,625,0
Germany,0,0,73088.06,673,0
Germany,0,1,150905.03,656,0
Spain,1,0,143054.85,850,0
Spain,0,0,0.0,574,0
France,1,1,0.0,679,0
Germany,1,0,99948.45,530,0
France,0,0,115451.05,508,0
Germany,1,1,108235.91,558,0
France,1,0,0.0,414,1
Spain,0,1,98795.61,648,0
France,0,1,0.0,721,0
France,0,0,0.0,751,0
France,1,0,0.0,662,0
Germany,1,0,113146.98,628,0
Germany,0,1,162532.14,597,1
Spain,1,1,92053.44,698,0
France,1,1,0.0,723,0
France,0,1,0.0,586,1
Germany,1,1,104944.1,633,0
France,0,1,0.0,564,0
France,0,1,0.0,649,0
France,1,0,107879.04,622,0
Germany,0,1,110356.42,459,1
France,0,0,0.0,718,0
Spain,0,1,109783.69,655,0
France,1,1,149777.0,696,0
France,0,0,104339.56,637,0
Spain,1,1,85818.18,630,0
France,0,0,212692.97,592,0
Germany,1,1,89696.84,634,0
France,1,1,0.0,608,0
Germany,0,1,68067.24,565,0
Spain,1,0,148564.66,763,0
France,1,1,136354.16,665,0
France,1,0,122214.0,649,0
France,1,1,0.0,695,0
Germany,1,1,119684.88,775,0
France,1,0,135139.33,788,0
Germany,0,1,146100.75,569,1
Spain,1,0,123110.9,726,1
Germany,1,1,111760.4,564,1
France,1,1,110728.39,544,0
France,1,1,121558.46,614,0
Germany,0,1,120623.21,453,0
France,1,1,114713.57,471,0
Germany,0,0,103457.76,829,0
Germany,1,1,101134.87,754,0
Germany,1,1,78136.36,749,0
France,0,1,0.0,667,0
Spain,0,0,133446.34,670,0
France,1,1,0.0,670,0
Germany,0,1,108076.33,623,1
France,0,1,131354.25,571,0
Germany,1,0,62974.64,641,0
Germany,0,1,143340.44,551,0
Germany,0,1,116993.43,741,0
France,1,0,58662.92,472,0
Spain,0,0,128808.65,650,1
France,0,0,137555.44,625,0
Germany,1,1,142393.11,650,0
France,0,1,0.0,535,0
France,1,1,125785.23,649,0
France,0,1,136444.25,689,1
Spain,0,1,121527.4,694,0
Germany,1,1,144696.75,655,0
France,1,1,0.0,620,0
France,1,1,0.0,577,0
Germany,0,1,128140.17,401,1
France,1,1,120383.41,599,0
France,1,1,0.0,481,1
France,1,1,129735.3,704,0
Spain,0,0,185078.26,698,1
France,0,0,0.0,480,0
France,1,1,0.0,682,0
Spain,1,0,0.0,700,0
France,1,1,144591.96,492,0
France,0,1,0.0,444,1
France,0,0,0.0,624,0
France,0,1,0.0,709,0
Germany,1,1,100194.44,557,0
Germany,1,1,145295.31,646,0
Germany,1,1,106070.29,719,0
Germany,1,1,120621.89,706,0
France,1,0,0.0,660,0
France,1,1,0.0,667,0
France,1,1,0.0,705,0
Germany,1,1,171283.91,598,0
France,1,1,0.0,669,0
Germany,0,1,128218.47,580,1
France,1,1,0.0,676,0
Germany,0,1,77776.39,714,0
Germany,1,1,124978.19,597,0
France,0,0,0.0,559,0
France,1,1,0.0,564,0
Spain,1,1,109799.55,850,1
France,0,0,0.0,689,0
Germany,0,1,125397.21,758,1
Spain,1,1,0.0,604,0
Germany,1,0,111347.37,733,0
Spain,1,1,104291.41,778,0
Germany,1,1,94867.18,732,1
France,0,0,0.0,646,0
France,0,0,135703.59,597,0
Germany,1,0,106453.53,821,0
France,0,0,132412.38,640,1
Germany,0,1,124401.6,511,1
France,0,1,118022.06,805,1
Germany,0,1,82531.11,540,0
Spain,0,1,184552.12,705,1
Germany,1,1,127278.31,540,0
Spain,1,1,0.0,532,0
France,1,0,0.0,535,0
Germany,0,1,184244.86,627,0
France,0,0,59669.43,646,1
France,1,0,79543.59,515,0
France,1,1,151553.19,697,0
Germany,1,0,166527.88,652,0
Germany,0,1,150329.15,579,0
France,0,1,121911.59,760,0
France,0,1,156773.78,769,0
Spain,1,1,127864.26,498,0
France,1,1,113709.28,774,1
Germany,1,1,79974.55,705,0
France,1,1,0.0,648,0
France,0,1,0.0,688,1
Spain,0,1,0.0,592,1
France,0,1,144427.96,705,0
France,1,1,99263.09,654,0
France,1,1,79368.87,624,0
France,1,1,0.0,594,0
Spain,1,1,0.0,695,0
France,1,1,0.0,597,0
France,0,1,125095.94,758,1
Germany,0,1,162485.8,737,0
Germany,0,1,95668.82,694,0
France,0,1,0.0,683,0
Spain,1,1,0.0,538,0
France,0,1,0.0,669,0
France,0,1,74197.38,730,0
France,1,1,89688.94,622,0
Spain,1,1,103121.33,714,0
Spain,0,1,0.0,569,0
Germany,1,0,120170.07,668,0
France,1,1,149136.31,628,0
France,1,1,141136.79,600,0
France,0,1,152341.55,693,0
France,1,0,120026.98,704,0
Spain,0,0,132168.28,527,0
Germany,1,1,85200.82,553,0
Spain,1,0,84903.33,575,0
France,0,0,0.0,626,0
France,1,1,0.0,582,0
Spain,0,1,0.0,683,0
France,0,0,121535.18,850,0
Spain,1,1,116662.96,653,0
France,1,1,0.0,679,0
Germany,1,0,124829.16,549,0
Spain,0,0,155180.56,850,0
Germany,1,1,108262.87,558,0
Spain,0,1,0.0,528,0
France,0,1,0.0,801,0
Spain,1,1,0.0,513,1
Germany,1,1,99812.88,666,0
France,1,0,132164.26,606,0
Germany,0,1,103583.05,599,1
Germany,0,1,142406.43,544,0
Spain,0,1,99842.5,529,1
